step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.1,0.001,1.2172949002217297,1.0,0.8951630952183203
2000,100,0.1,0.001,1.2172949002217297,1.08,0.8373705351896613
2000,100,0.1,0.001,1.2172949002217297,1.2,0.9682066345835036
2000,100,0.1,0.001,1.2172949002217297,1.24,0.769690939362706
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8532034195555912
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8092845611910087
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7852607384310283
2000,100,0.1,0.001,1.2172949002217297,0.92,0.8325135116853566
2000,100,0.1,0.001,1.2172949002217297,1.2,0.9090560561423825
2000,100,0.1,0.001,1.2172949002217297,1.06,0.7194805092061662
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7857424720535723
2000,100,0.1,0.001,1.2172949002217297,1.06,0.7002236889641249
2000,100,0.1,0.001,1.2172949002217297,1.5,0.7700184983429035
2000,100,0.1,0.001,1.2172949002217297,0.98,0.7593294783780069
2000,100,0.1,0.001,1.2172949002217297,1.34,0.8468867872276434
2000,100,0.1,0.001,1.2172949002217297,1.48,0.8521503887355169
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7737055733561267
2000,100,0.1,0.001,1.2172949002217297,1.08,0.895383720190131
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7555763674170581
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8621743320082758
2000,100,0.1,0.001,1.2172949002217297,1.4,0.8627985700626807
2000,100,0.1,0.001,1.2172949002217297,1.36,0.7912640762013656
2000,100,0.1,0.001,1.2172949002217297,1.02,0.5638986099741551
2000,100,0.1,0.001,1.2172949002217297,1.22,0.906527730802598
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7309715303052993
2000,100,0.1,0.001,1.2172949002217297,1.3,0.7977440427667345
2000,100,0.1,0.001,1.2172949002217297,1.36,0.777176261515562
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8815968715023156
2000,100,0.1,0.001,1.2172949002217297,1.42,0.7160807355025863
2000,100,0.1,0.001,1.2172949002217297,1.26,0.9023146016959934
2000,100,0.1,0.001,1.2172949002217297,1.22,0.801366081979362
