p_n,p_r,clustering_mean,clustering_std,mean_degree_mean,mean_degree_std,expected_mean_degree_mean,clust_min,clust_max,degree_min,degree_max
0.4,0.3,0.3416763847575084,0.007433796425583702,33.58399999999999,0.6897145224286497,33.73991031390136,0.33424258833192466,0.3491101811830921,32.89428547757134,34.27371452242864
0.4,0.5,0.4575641823598085,0.007509811539384044,45.43640000000001,0.6803083334572851,45.49632352941173,0.45005437082042443,0.4650739938991926,44.75609166654273,46.1167083334573
0.45,0.1,0.20594500498003143,0.008806877056065048,16.5592,0.6693031404958077,16.525502318392572,0.19713812792396637,0.2147518820360965,15.889896859504193,17.228503140495807
0.45,0.3,0.3647051204257664,0.006844853126041376,35.63520000000002,0.6651138923492115,35.701067615658324,0.35786026729972503,0.3715499735518078,34.97008610765081,36.30031389234923
0.45,0.5,0.47953226716334707,0.006583458320330614,47.6064,0.641585281524903,47.64196342637156,0.47294880884301643,0.4861157254836777,46.9648147184751,48.247985281524905
0.5,0.1,0.22365418343323695,0.01097064485936238,17.945999999999998,0.7860025445251433,17.879598662207375,0.21268353857387456,0.23462482829259934,17.159997455474855,18.73200254452514
0.5,0.3,0.3887850152069515,0.008124747633472413,37.888799999999996,0.707835562594498,37.904282115868966,0.3806602675734791,0.39690976284042395,37.1809644374055,38.59663556259449
0.5,0.5,0.5029661224381118,0.0073985831249166216,49.7816,0.6975507003736983,50.0,0.49556753931319514,0.5103647055630284,49.0840492996263,50.479150700373694
0.55,0.1,0.24069665428465484,0.010201388245724204,19.470800000000004,0.8158452234164448,19.475409836065552,0.23049526603893064,0.25089804253037906,18.65495477658356,20.28664522341645
0.55,0.3,0.4154195854931707,0.009349004061166257,40.3828,0.8374013252866497,40.397315436241584,0.4060705814320045,0.42476858955433694,39.545398674713354,41.22020132528665
0.55,0.5,0.5322499578630643,0.007348760245253405,52.64520000000002,0.685533428530406,52.60361317747081,0.5249011976178108,0.5395987181083177,51.95966657146961,53.33073342853042
0.6,0.1,0.26052225180459176,0.010479512891879445,21.2744,0.8434626396526379,21.38400000000001,0.25004273891271234,0.2710017646964712,20.43093736034736,22.11786263965264
0.6,0.3,0.4446926024607972,0.009203531685544558,43.309200000000004,0.89294020185096,43.241379310344854,0.4354890707752527,0.4538961341463418,42.41625979814904,44.202140201850966
0.6,0.5,0.5622209364996287,0.006504620674433522,55.5212,0.6147892952475839,55.49327354260094,0.5557163158251952,0.5687255571740621,54.90641070475242,56.13598929524758
0.65,0.1,0.2876581685626166,0.01062808075845827,23.766799999999993,0.8876624657273873,23.707317073170753,0.27703008780415833,0.2982862493210749,22.879137534272605,24.65446246572738
0.65,0.3,0.478935803495496,0.010780623940502894,46.584399999999995,1.1053804590201846,46.516228748067995,0.46815517955499314,0.4897164274359989,45.47901954097981,47.68978045902018
0.65,0.5,0.5950440112553982,0.009266069114615997,58.74999999999999,0.8662115497842269,58.718861209964416,0.5857779421407822,0.6043100803700142,57.88378845021577,59.61621154978422
0.7,0.1,0.31610035940002346,0.013234185249942847,26.638799999999993,1.2520573110700972,26.597014925373127,0.3028661741500806,0.3293345446499663,25.386742688929896,27.89085731107009
0.7,0.3,0.5181675736312676,0.009085528512579176,50.53120000000002,0.9256451473299634,50.3277591973244,0.5090820451186885,0.5272531021438468,49.60555485267005,51.456845147329986
0.7,0.5,0.6305784168941131,0.0071690190776573445,62.27920000000001,0.7558205164331179,62.3425692695214,0.6234093978164558,0.6377474359717704,61.52337948356689,63.03502051643313
0.75,0.1,0.35302854496916325,0.01454896579191089,30.313200000000002,1.44968179478203,30.288951841359747,0.33847957917725235,0.36757751076107414,28.86351820521797,31.762881794782032
0.75,0.3,0.5621103975314864,0.01256821168883096,54.876,1.2227303004976613,54.81967213114753,0.5495421858426555,0.5746786092203173,53.65326969950234,56.09873030049766
0.75,0.5,0.6715127429318386,0.007196525644012993,66.25479999999999,0.7317946628470501,66.44295302013418,0.6643162172878256,0.6787092685758516,65.52300533715294,66.98659466284704
0.8,0.1,0.40191236260934404,0.016604529384462406,35.10240000000001,1.7999938321889792,35.17105263157896,0.38530783322488166,0.41851689199380643,33.30240616781103,36.90239383218899
0.8,0.3,0.6120406409163234,0.011221150376399168,59.864,1.1464230084422218,60.192,0.6008194905399242,0.6232617912927225,58.71757699155778,61.01042300844222
0.8,0.5,0.7202450817093218,0.006843996339395444,71.09120000000001,0.6879743706664349,71.12068965517246,0.7134010853699263,0.7270890780487173,70.40322562933358,71.77917437066645
0.85,0.1,0.4654469532967851,0.01690342310799921,41.91120000000001,2.093531963365416,41.929411764705904,0.4485435301887859,0.4823503764047843,39.81766803663459,44.00473196336542
0.85,0.3,0.6813346491513396,0.00984023855367463,66.7612,1.045881407410681,66.7317073170731,0.6714944105976649,0.6911748877050142,65.71531859258933,67.80708140741068
0.85,0.5,0.77609112900987,0.007998579924719184,76.63800000000002,0.796341122681398,76.50695517774338,0.7680925490851508,0.7840897089345892,75.84165887731862,77.43434112268142
0.9,0.1,0.5566973993926448,0.023051171198921628,51.538800000000016,2.6146476252224957,51.902912621359235,0.5336462281937232,0.5797485705915665,48.92415237477752,54.15344762522251
0.9,0.3,0.7602633187747435,0.01023061202135621,74.7264,1.093203045165528,74.86567164179098,0.7500327067533873,0.7704939307960997,73.63319695483447,75.81960304516552
0.9,0.5,0.8364185465258935,0.007884377292049195,82.65400000000001,0.7714629621963821,82.77591973244137,0.8285341692338444,0.8443029238179427,81.88253703780363,83.42546296219639
0.95,0.1,0.7075954058235271,0.026088794010389587,67.79320000000001,2.8954055371380707,68.10191082802552,0.6815066118131375,0.7336841998339166,64.89779446286194,70.68860553713809
0.95,0.3,0.8651571778484692,0.008710378417319893,85.31639999999999,0.9133717753467092,85.25779036827188,0.8564467994311493,0.8738675562657892,84.40302822465328,86.22977177534669
0.95,0.5,0.9126167043723794,0.004772201948807081,90.25800000000001,0.4758365351286773,90.16393442622943,0.9078445024235723,0.9173889063211865,89.78216346487133,90.73383653512869
1.0,0.1,0.9898630065941942,0.012678360541770642,97.85079999999996,1.4545815584573045,99.00000000000001,0.9771846460524236,1.0025413671359649,96.39621844154266,99.30538155845727
1.0,0.3,1.0,0.0,99.0,0.0,98.99999999999999,1.0,1.0,99.0,99.0
1.0,0.5,1.0,0.0,99.0,0.0,99.0,1.0,1.0,99.0,99.0
